ranking,longitud,latitud,dist_canon_km,dist_puerto_km,profundidad_m,pendiente_grados,fitness_1,fitness_2,fitness_3,cumple_restricciones
73,-104.402563,19.099924,19.3,10.3,-100,10,5.4925,10.3004,1.0,SI
74,-104.358182,19.097159,17.13,6.6,-100,10,5.5516,6.603,1.0,SI
75,-104.320419,19.055711,11.81,0.64,-100,10,5.7809,0.6365,1.0,SI
76,-104.480574,19.097942,24.33,17.7,-100,10,5.3947,17.6968,1.0,SI
77,-104.084447,19.099898,28.2,25.37,-100,10,5.3424,25.3683,1.0,SI
78,-104.360421,19.098901,17.38,6.9,-100,10,5.5439,6.9001,1.0,SI
79,-104.047489,19.097844,30.65,29.13,-100,10,5.3159,29.1282,1.0,SI
80,-104.320117,19.059756,12.25,1.08,-100,10,5.7547,1.0849,1.0,SI
81,-104.320117,19.059756,12.25,1.08,-100,10,5.7547,1.0849,1.0,SI
82,-104.495791,19.099865,25.67,19.29,-100,10,5.3749,19.2879,1.0,SI
83,-104.328827,19.073913,13.92,2.82,-100,10,5.6702,2.8162,1.0,SI
84,-104.020883,19.099944,31.67,31.92,-100,10,5.3061,31.9208,1.0,SI
85,-104.037298,19.099978,31.54,30.22,-100,10,5.3074,30.2243,1.0,SI
86,-104.358182,19.097937,17.21,6.67,-100,10,5.5491,6.6719,1.0,SI
87,-104.326123,19.086781,15.3,4.14,-100,10,5.6134,4.1402,1.0,SI
88,-104.323548,19.057994,12.09,0.96,-100,10,5.7638,0.9639,1.0,SI
89,-104.323548,19.057994,12.09,0.96,-100,10,5.7638,0.9639,1.0,SI
90,-104.32396,19.062327,12.58,1.43,-100,10,5.7366,1.4325,1.0,SI
91,-104.040602,19.099377,31.29,29.87,-100,10,5.3097,29.8707,1.0,SI
92,-104.022607,19.099908,31.65,31.74,-100,10,5.3063,31.7417,1.0,SI
93,-104.057274,19.099456,30.06,28.15,-100,10,5.3219,28.1521,1.0,SI
94,-104.319928,19.098645,16.56,5.41,-100,10,5.5694,5.4091,1.0,SI
95,-104.489686,19.09997,25.2,18.68,-100,10,5.3817,18.6778,1.0,SI
96,-104.497087,18.70705,33.43,42.44,-100,10,5.2905,42.4426,1.0,SI
97,-104.497087,18.70705,33.43,42.44,-100,10,5.2905,42.4426,1.0,SI
98,-104.369401,19.097279,17.53,7.39,-100,10,5.5398,7.3885,1.0,SI
99,-104.457375,19.099283,22.71,15.44,-100,10,5.4218,15.4418,1.0,SI
100,-104.014121,19.099908,31.76,32.62,-100,10,5.3053,32.6202,1.0,SI
